Nested Sampling Global Log-Evidence           :   -0.911910149131988192E+03  +/-    0.197914069754700939E+00
Nested Importance Sampling Global Log-Evidence:   -0.912047120557684366E+03  +/-    0.178792167620365275E-01

Dim No.       Mean        Sigma
   1    0.354356137056669129E+00    0.199996669625914572E-01
   2    0.251253022462377462E+00    0.235553125699080046E-01
   3    0.123607689510587693E+01    0.164054784816146312E-01
   4    0.334892776989919083E+01    0.101760193264803470E+00
   5    0.613059437587104128E+01    0.891029491020351727E-01
   6    0.747653403682506834E+01    0.774242965253369303E-01
   7    0.268889795560302958E+00    0.139740171908495553E+00
   8    0.121981778286639525E+03    0.229089928651476704E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.364825625418220501E+00
   2    0.257470761954221306E+00
   3    0.123645773078038124E+01
   4    0.321525209646205612E+01
   5    0.625225579698029144E+01
   6    0.739030972707183587E+01
   7    0.418634859447200511E-01
   8    0.121931122275603926E+03

MAP Parameters
Dim No.        Parameter
   1    0.319209304842974051E+00
   2    0.223938667004949549E+00
   3    0.124499938072435357E+01
   4    0.321877824594910056E+01
   5    0.622057687229894274E+01
   6    0.747312036898758780E+01
   7    0.337678159912079001E+00
   8    0.121705500659026683E+03
