Nested Sampling Global Log-Evidence           :   -0.959202957746823017E+03  +/-    0.201759770216539319E+00
Nested Importance Sampling Global Log-Evidence:   -0.959312027123659163E+03  +/-    0.167827951205985065E-01

Dim No.       Mean        Sigma
   1    0.386557576993529661E+00    0.213004898298594647E-01
   2    0.293761115414546137E+00    0.286502504712072559E-01
   3    0.122022034547465053E+01    0.178034212241673408E-01
   4    0.795438173981728269E+01    0.247916426361480591E+01
   5    0.146197396456193562E+01    0.249061312506597776E+01
   6    0.730883178936091493E+01    0.100084824429741995E+00
   7    0.543118502994028751E+00    0.942926847231071869E-01
   8    0.121477855591212375E+03    0.653170738938217560E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.387533471415684838E+00
   2    0.299187814139899921E+00
   3    0.122362615583733780E+01
   4    0.938043348108347708E+01
   5    0.320364337807591756E-01
   6    0.724581168184593682E+01
   7    0.344534074651472844E+00
   8    0.121477505797852785E+03

MAP Parameters
Dim No.        Parameter
   1    0.371734111229642616E+00
   2    0.265774117472201699E+00
   3    0.123793663443751489E+01
   4    0.918768006066781240E+01
   5    0.162785634320524064E+00
   6    0.743478251266190515E+01
   7    0.445838679285854633E+00
   8    0.121415237480396470E+03
